image_id,image_path,targets
000005,voc/VOCdevkit/VOC2007/JPEGImages/000005.jpg,"[0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0]"
000009,voc/VOCdevkit/VOC2007/JPEGImages/000009.jpg,"[0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0]"
000016,voc/VOCdevkit/VOC2007/JPEGImages/000016.jpg,"[0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
000017,voc/VOCdevkit/VOC2007/JPEGImages/000017.jpg,"[0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0]"
000021,voc/VOCdevkit/VOC2007/JPEGImages/000021.jpg,"[0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0]"
000023,voc/VOCdevkit/VOC2007/JPEGImages/000023.jpg,"[0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0]"
000024,voc/VOCdevkit/VOC2007/JPEGImages/000024.jpg,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0]"
000026,voc/VOCdevkit/VOC2007/JPEGImages/000026.jpg,"[0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0]"
000030,voc/VOCdevkit/VOC2007/JPEGImages/000030.jpg,"[0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0]"
000032,voc/VOCdevkit/VOC2007/JPEGImages/000032.jpg,"[1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0]"
000033,voc/VOCdevkit/VOC2007/JPEGImages/000033.jpg,"[1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
000034,voc/VOCdevkit/VOC2007/JPEGImages/000034.jpg,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0]"
000035,voc/VOCdevkit/VOC2007/JPEGImages/000035.jpg,"[0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0]"
000041,voc/VOCdevkit/VOC2007/JPEGImages/000041.jpg,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1]"
000042,voc/VOCdevkit/VOC2007/JPEGImages/000042.jpg,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0]"
000044,voc/VOCdevkit/VOC2007/JPEGImages/000044.jpg,"[0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0]"
000046,voc/VOCdevkit/VOC2007/JPEGImages/000046.jpg,"[0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
000047,voc/VOCdevkit/VOC2007/JPEGImages/000047.jpg,"[0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0]"
000050,voc/VOCdevkit/VOC2007/JPEGImages/000050.jpg,"[0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0]"
000051,voc/VOCdevkit/VOC2007/JPEGImages/000051.jpg,"[0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0]"
000052,voc/VOCdevkit/VOC2007/JPEGImages/000052.jpg,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0]"
000060,voc/VOCdevkit/VOC2007/JPEGImages/000060.jpg,"[0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0]"
000061,voc/VOCdevkit/VOC2007/JPEGImages/000061.jpg,"[0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
000063,voc/VOCdevkit/VOC2007/JPEGImages/000063.jpg,"[0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0]"
000064,voc/VOCdevkit/VOC2007/JPEGImages/000064.jpg,"[0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
000065,voc/VOCdevkit/VOC2007/JPEGImages/000065.jpg,"[0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0]"
000066,voc/VOCdevkit/VOC2007/JPEGImages/000066.jpg,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0]"
000072,voc/VOCdevkit/VOC2007/JPEGImages/000072.jpg,"[0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0]"
000073,voc/VOCdevkit/VOC2007/JPEGImages/000073.jpg,"[0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0]"
000077,voc/VOCdevkit/VOC2007/JPEGImages/000077.jpg,"[0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0]"
000081,voc/VOCdevkit/VOC2007/JPEGImages/000081.jpg,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0]"
000089,voc/VOCdevkit/VOC2007/JPEGImages/000089.jpg,"[0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0]"
000091,voc/VOCdevkit/VOC2007/JPEGImages/000091.jpg,"[0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0]"
000093,voc/VOCdevkit/VOC2007/JPEGImages/000093.jpg,"[0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0]"
000095,voc/VOCdevkit/VOC2007/JPEGImages/000095.jpg,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0]"
000099,voc/VOCdevkit/VOC2007/JPEGImages/000099.jpg,"[0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0]"
000102,voc/VOCdevkit/VOC2007/JPEGImages/000102.jpg,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0]"
000104,voc/VOCdevkit/VOC2007/JPEGImages/000104.jpg,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1]"
000109,voc/VOCdevkit/VOC2007/JPEGImages/000109.jpg,"[0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
000110,voc/VOCdevkit/VOC2007/JPEGImages/000110.jpg,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0]"
