dataset,model,method,image_id,target,sigma,repeat,seed,status,spearman,top10_jaccard,original_pred,perturbed_pred,prediction_preserved,original_target_score,perturbed_target_score,target_score_abs_delta,perturbation_mae_pixel,attribution_time_ms
imagenet,vgg16,ig,ILSVRC2012_val_00012132,17,0.01,0,1240890485581281775,valid,0.4578373750385924,0.3313876359777129,17,17,True,0.8944293856620789,0.9237810373306274,0.029351651668548584,0.007977155037224293,296.32166399960624
imagenet,vgg16,ig,ILSVRC2012_val_00012132,17,0.01,1,7809966714089166156,valid,0.4496722099378359,0.3241852487135506,17,17,True,0.8944293856620789,0.9387997984886169,0.044370412826538086,0.00797604862600565,296.4814780002598
imagenet,vgg16,ig,ILSVRC2012_val_00012132,17,0.01,2,594568608699110832,valid,0.46514854274095124,0.3310344827586207,17,17,True,0.8944293856620789,0.9324424266815186,0.0380130410194397,0.00797850452363491,298.0507799998122
imagenet,vgg16,ig,ILSVRC2012_val_00012132,17,0.01,3,8272835477805138346,valid,0.45318789978327007,0.3315642828711689,17,17,True,0.8944293856620789,0.9282286167144775,0.03379923105239868,0.00795917771756649,297.4230049999278
imagenet,vgg16,ig,ILSVRC2012_val_00012132,17,0.01,4,5588988483984321074,valid,0.4493729376844918,0.3175790993829592,17,17,True,0.8944293856620789,0.917996883392334,0.023567497730255127,0.007953647524118423,296.580418999838
imagenet,vgg16,ig,ILSVRC2012_val_00012132,17,0.02,0,1240890485581281775,valid,0.2884849496858582,0.24500682297481702,17,17,True,0.8944293856620789,0.9050020575523376,0.010572671890258789,0.01577305607497692,297.18616299987843
imagenet,vgg16,ig,ILSVRC2012_val_00012132,17,0.02,1,7809966714089166156,valid,0.2801074584393112,0.2431561996779388,17,17,True,0.8944293856620789,0.9352478384971619,0.04081845283508301,0.01578219048678875,296.4443770001708
imagenet,vgg16,ig,ILSVRC2012_val_00012132,17,0.02,2,594568608699110832,valid,0.2746766144586384,0.23231827111984282,17,17,True,0.8944293856620789,0.9054471850395203,0.011017799377441406,0.01577969826757908,296.36170399999173
imagenet,vgg16,ig,ILSVRC2012_val_00012132,17,0.02,3,8272835477805138346,valid,0.2851777985044096,0.2352,17,17,True,0.8944293856620789,0.9038301110267639,0.009400725364685059,0.015742696821689606,297.09342900014235
imagenet,vgg16,ig,ILSVRC2012_val_00012132,17,0.02,4,5588988483984321074,valid,0.270531238113233,0.23050514958312898,17,17,True,0.8944293856620789,0.9478992819786072,0.05346989631652832,0.01573066972196102,296.9163929997194
imagenet,vgg16,ig,ILSVRC2012_val_00012132,17,0.05,0,1240890485581281775,valid,0.0994891375232229,0.14802104781514527,17,17,True,0.8944293856620789,0.761306643486023,0.1331227421760559,0.03825867921113968,296.43683599988435
imagenet,vgg16,ig,ILSVRC2012_val_00012132,17,0.05,1,7809966714089166156,valid,0.09803981880126368,0.15555555555555556,17,17,True,0.8944293856620789,0.5974268913269043,0.29700249433517456,0.03828912228345871,297.2448699997585
imagenet,vgg16,ig,ILSVRC2012_val_00012132,17,0.05,2,594568608699110832,valid,0.07955673807396349,0.14305239179954443,17,17,True,0.8944293856620789,0.7551577091217041,0.13927167654037476,0.03823862969875336,296.4783030001854
imagenet,vgg16,ig,ILSVRC2012_val_00012132,17,0.05,3,8272835477805138346,valid,0.09500206371976183,0.15582172060347807,17,17,True,0.8944293856620789,0.9018337726593018,0.0074043869972229,0.03818439319729805,296.42970200029595
imagenet,vgg16,ig,ILSVRC2012_val_00012132,17,0.05,4,5588988483984321074,valid,0.07983890321597989,0.14986251145737856,17,17,True,0.8944293856620789,0.8072702288627625,0.0871591567993164,0.038149602711200714,296.4119060002304
imagenet,vgg16,ig,ILSVRC2012_val_00000140,558,0.01,0,2495375757937344332,valid,0.6972016790743222,0.5497220506485485,251,251,True,7.059310974000255e-06,1.0082803783006966e-05,3.0234928090067115e-06,0.007930428721010685,296.60271200009447
