dataset,model,method,image_id,target,sigma,repeat,seed,status,spearman,top10_jaccard,original_pred,perturbed_pred,prediction_preserved,original_target_score,perturbed_target_score,target_score_abs_delta,perturbation_mae_pixel,attribution_time_ms
imagenet,vgg16,ig,ILSVRC2012_val_00012132,17,0.002,0,1240890485581281775,valid,0.8692779745287673,0.6607645209333113,17,17,True,0.8944293856620789,0.8989747762680054,0.004545390605926514,0.0015989053063094616,297.20253300001787
imagenet,vgg16,ig,ILSVRC2012_val_00012132,17,0.002,1,7809966714089166156,valid,0.8677790397691831,0.6657261410788382,17,17,True,0.8944293856620789,0.8967803716659546,0.0023509860038757324,0.001598738832399249,297.99940300017624
imagenet,vgg16,ig,ILSVRC2012_val_00012132,17,0.002,2,594568608699110832,valid,0.871718476390774,0.6635173213989723,17,17,True,0.8944293856620789,0.9155604839324951,0.02113109827041626,0.0015992106636986136,297.29910200012455
imagenet,vgg16,ig,ILSVRC2012_val_00012132,17,0.002,3,8272835477805138346,valid,0.8710793230332623,0.6637931034482759,17,17,True,0.8944293856620789,0.9118202924728394,0.017390906810760498,0.0015952984103932977,300.35626700009743
imagenet,vgg16,ig,ILSVRC2012_val_00012132,17,0.002,4,5588988483984321074,valid,0.8663351481768978,0.6558323708958917,17,17,True,0.8944293856620789,0.9007542133331299,0.006324827671051025,0.0015943965408951044,297.91865599963785
imagenet,vgg16,ig,ILSVRC2012_val_00012132,17,0.005,0,1240890485581281775,valid,0.6483903057675748,0.4492418772563177,17,17,True,0.8944293856620789,0.9157871007919312,0.021357715129852295,0.003996922168880701,297.1522399998321
imagenet,vgg16,ig,ILSVRC2012_val_00012132,17,0.005,1,7809966714089166156,valid,0.6430489082643643,0.45301867670479223,17,17,True,0.8944293856620789,0.9150027632713318,0.02057337760925293,0.003996476996690035,297.2439680002026
imagenet,vgg16,ig,ILSVRC2012_val_00012132,17,0.005,2,594568608699110832,valid,0.6574427071164727,0.4507082971957213,17,17,True,0.8944293856620789,0.9353545904159546,0.04092520475387573,0.003997646272182465,297.9205629999342
imagenet,vgg16,ig,ILSVRC2012_val_00012132,17,0.005,3,8272835477805138346,valid,0.649249846113556,0.45935727788279773,17,17,True,0.8944293856620789,0.9275123476982117,0.03308296203613281,0.003987786825746298,297.3152689996823
imagenet,vgg16,ig,ILSVRC2012_val_00012132,17,0.005,4,5588988483984321074,valid,0.6480166172543889,0.43823445113212955,17,17,True,0.8944293856620789,0.9125686883926392,0.018139302730560303,0.003985461313277483,297.19089099990015
imagenet,vgg16,ig,ILSVRC2012_val_00000140,558,0.002,0,2495375757937344332,valid,0.9490628266086565,0.8434974283614989,251,251,True,7.059310974000255e-06,7.06422315488453e-06,4.912180884275585e-09,0.001592604094184935,297.27361599998403
imagenet,vgg16,ig,ILSVRC2012_val_00000140,558,0.002,1,8258382046345720994,valid,0.9491113674829733,0.8370858502654219,251,251,True,7.059310974000255e-06,7.187796654761769e-06,1.2848568076151423e-07,0.001592768239788711,297.5425439999526
imagenet,vgg16,ig,ILSVRC2012_val_00000140,558,0.002,2,1986566169149637064,valid,0.9485495056052249,0.8418058359331988,251,251,True,7.059310974000255e-06,5.483858330990188e-06,1.5754526430100668e-06,0.001594298635609448,297.2757989996353
imagenet,vgg16,ig,ILSVRC2012_val_00000140,558,0.002,3,781331182807300414,valid,0.9487392686447061,0.8343995613233413,251,251,True,7.059310974000255e-06,6.340790150716202e-06,7.185208232840523e-07,0.0015953154070302844,297.9380060000949
imagenet,vgg16,ig,ILSVRC2012_val_00000140,558,0.002,4,821512256087617785,valid,0.9483185798424345,0.8374221896741121,251,251,True,7.059310974000255e-06,5.286423402139917e-06,1.7728875718603376e-06,0.0015968169318512082,297.4272420001398
imagenet,vgg16,ig,ILSVRC2012_val_00000140,558,0.005,0,2495375757937344332,valid,0.8487708738928058,0.6995766299745978,251,251,True,7.059310974000255e-06,7.543312221969245e-06,4.840012479689904e-07,0.003977824002504349,297.30947999996715
imagenet,vgg16,ig,ILSVRC2012_val_00000140,558,0.005,1,8258382046345720994,valid,0.8500311567672194,0.6961297955044786,251,251,True,7.059310974000255e-06,7.147987616917817e-06,8.867664291756228e-08,0.0039786482229828835,297.8978599999209
imagenet,vgg16,ig,ILSVRC2012_val_00000140,558,0.005,2,1986566169149637064,valid,0.8486603319388418,0.695843190266982,251,251,True,7.059310974000255e-06,3.725579517777078e-06,3.333731456223177e-06,0.003982102498412132,297.4721529999442
imagenet,vgg16,ig,ILSVRC2012_val_00000140,558,0.005,3,781331182807300414,valid,0.8493087606698346,0.6924114671163575,251,251,True,7.059310974000255e-06,6.304327598627424e-06,7.549833753728308e-07,0.003985240124166012,297.21123900026214
imagenet,vgg16,ig,ILSVRC2012_val_00000140,558,0.005,4,821512256087617785,valid,0.8530236583191494,0.7010169491525424,251,251,True,7.059310974000255e-06,4.289771823096089e-06,2.7695391509041656e-06,0.003987926058471203,297.72711700024956
imagenet,vgg16,ig,ILSVRC2012_val_00031295,237,0.002,0,7260055080022824154,valid,0.9201978983270684,0.7094191790154999,237,237,True,0.8723140358924866,0.8751079440116882,0.00279390811920166,0.0015966728096827865,297.3124620002636
imagenet,vgg16,ig,ILSVRC2012_val_00031295,237,0.002,1,6830589745658477501,valid,0.920208379231896,0.7126279863481229,237,237,True,0.8723140358924866,0.8543840050697327,0.017930030822753906,0.0015960877062752843,297.8170559999853
imagenet,vgg16,ig,ILSVRC2012_val_00031295,237,0.002,2,5572588514906466611,valid,0.9220693711770711,0.7018823130405291,237,237,True,0.8723140358924866,0.849125862121582,0.02318817377090454,0.0015926180640235543,301.8286530000296
imagenet,vgg16,ig,ILSVRC2012_val_00031295,237,0.002,3,7784788833784456437,valid,0.9204454564963552,0.7056424201223658,237,237,True,0.8723140358924866,0.8695788383483887,0.0027351975440979004,0.0015937720891088247,298.01948000022094
imagenet,vgg16,ig,ILSVRC2012_val_00031295,237,0.002,4,205616704339721179,valid,0.9196116827451797,0.7047732291489723,237,237,True,0.8723140358924866,0.8769453167915344,0.0046312808990478516,0.0015959908487275243,298.3389430000898
imagenet,vgg16,ig,ILSVRC2012_val_00031295,237,0.005,0,7260055080022824154,valid,0.758087694681903,0.5010469638049656,237,237,True,0.8723140358924866,0.8707352876663208,0.0015787482261657715,0.003991680685430765,298.6663380002028
